--- scanner 0 ---
-367,-662,466
528,-535,-531
501,-558,-478
157,-57,-81
34,54,0
453,-598,439
433,-676,317
-697,-498,-517
641,352,709
-415,-496,427
-464,-504,-539
865,852,-708
622,428,706
-611,761,-486
-655,703,-675
-558,-542,-477
-722,520,551
623,-555,-407
590,328,833
-759,312,567
795,806,-835
-777,418,507
875,775,-910
-643,650,-530
431,-641,334
-394,-546,365

--- scanner 1 ---
-514,-699,856
667,-728,964
728,-582,-391
-928,806,581
445,479,512
672,-679,-474
567,598,-396
-481,821,-611
729,-588,924
-548,-810,-249
-477,-563,939
-474,-671,-316
-497,789,-480
699,-777,899
-773,749,661
619,471,583
45,-81,35
594,579,-501
433,531,587
621,585,-504
-827,735,459
-553,693,-551
690,-613,-390
-623,-718,-268
-572,-522,912
-60,74,89

--- scanner 2 ---
448,875,-472
-767,746,-507
-428,-372,-558
438,964,-397
833,-782,-385
-844,-814,514
-450,-408,-612
516,564,605
325,-367,518
-595,718,876
-560,794,735
415,-419,510
-848,771,-401
420,952,-636
602,722,658
-704,792,766
580,640,472
353,-246,453
-814,-692,511
-451,-267,-677
680,-784,-474
-51,121,48
817,-819,-366
-857,803,-480
-746,-727,492

--- scanner 3 ---
567,-667,512
331,-447,-604
422,497,356
-630,-529,619
-617,-543,-729
-675,-564,-875
-781,580,-884
571,450,308
520,646,-872
-724,489,514
-643,-525,555
356,-429,-680
-105,-141,-104
-730,-555,649
404,-660,386
-780,586,431
-742,555,430
496,358,289
462,469,-816
-719,440,-924
425,605,-899
394,-406,-486
-751,391,-859
530,-643,495
-32,-6,49
-668,-504,-808

--- scanner 4 ---
258,-463,463
391,-481,529
710,-857,-709
306,380,-639
-738,698,719
405,248,721
-578,-594,582
-566,-492,431
414,367,833
-439,-542,-674
608,-847,-793
331,-535,469
-728,-591,460
-401,-407,-731
746,-701,-802
427,292,-671
-390,-556,-806
394,393,598
-607,632,-651
354,293,-654
-139,-21,-5
-492,620,-532
-593,699,861
-565,731,-518
-803,728,857

--- scanner 5 ---
528,460,-401
-688,-634,-577
-734,-697,-604
-622,386,-699
